CUSTOMER_NUMBER,TIME_ID,BAD,GOOD,GB,ACTIVITY_M_NO,ACTIVITY_M_DATE,ACTIVITY_M_WDAY,ACTIVITY_M_HOUR,ACTIVITY_M_NAME,ACTIVITY_NO,ACTIVITY_DATE,ACTIVITY_WDAY,ACTIVITY_HOUR,ACTIVITY_NAME
788682,1,0,1,G,5,3,3,3,3,11,3,3,3,5
325357,1,0,1,G,23,5,4,8,4,48,5,4,10,7
317586,1,0,1,G,36,2,2,3,5,61,2,2,3,11
176996,1,0,1,G,7,3,2,5,2,12,3,2,5,3
408948,1,0,1,G,17,3,3,3,4,26,3,3,4,6
384117,1,0,1,G,9,4,3,4,3,14,4,3,4,5
457184,1,0,1,G,59,9,7,15,8,106,9,7,16,11
836230,1,0,1,G,32,4,4,5,4,44,4,4,7,8
210926,1,0,1,G,179,6,5,14,6,212,6,5,18,9
665672,1,0,1,G,10,2,2,2,4,16,2,2,2,6
868534,1,0,1,G,8,2,2,3,4,17,2,2,4,6
83996,1,0,1,G,83,9,6,11,3,119,9,6,14,5
617539,1,0,1,G,93,6,3,11,3,123,6,3,13,5
606156,1,0,1,G,30,10,7,11,5,64,11,7,13,7
325935,1,0,1,G,64,18,7,23,4,132,18,7,33,6
706291,1,0,1,G,4,1,1,1,3,7,1,1,1,5
223735,1,0,1,G,25,5,4,7,6,46,5,4,9,8
89043,1,0,1,G,14,3,2,3,4,23,3,2,3,6
824692,1,0,1,G,16,2,2,3,3,28,2,2,3,5
169660,1,0,1,G,35,2,2,3,4,53,2,2,3,8
254815,1,0,1,G,48,10,6,12,7,89,10,6,15,10
499858,1,0,1,G,39,3,3,5,3,54,3,3,8,6
133734,1,0,1,G,63,6,4,6,4,82,6,4,7,6
869935,1,0,1,G,24,3,3,3,5,31,3,3,3,9
458177,1,0,1,G,54,3,3,3,1,63,3,3,5,4
526442,1,0,1,G,0,0,0,1,0,0,0,0,1,0
455780,1,1,0,B,0,0,0,1,0,0,0,0,1,0
743874,1,1,0,B,4,1,1,1,2,7,1,1,1,4
351727,1,0,1,G,93,11,7,12,4,128,11,7,15,7
437827,1,0,1,G,26,3,2,3,6,37,3,2,5,9
450085,1,0,1,G,77,8,6,15,5,119,8,6,16,7
749271,1,0,1,G,69,6,4,6,6,90,7,5,8,8
856216,1,1,0,B,0,0,0,1,0,0,0,0,1,0
493244,1,0,1,G,16,4,4,5,4,31,4,4,5,6
694559,1,0,1,G,56,4,4,5,4,74,4,4,6,7
765033,1,0,1,G,516,9,7,47,8,689,9,7,60,12
238738,1,0,1,G,6,1,1,1,4,9,1,1,1,7
359540,1,0,1,G,58,4,4,8,5,89,4,4,9,8
143332,1,0,1,G,467,12,7,32,8,567,12,7,43,11
898211,1,0,1,G,16,4,3,6,2,29,4,3,7,5
346269,1,0,1,G,213,6,5,12,7,248,7,5,13,11
642209,1,0,1,G,120,2,2,7,7,160,2,2,7,11
406016,1,0,1,G,0,0,0,1,0,0,0,0,1,0
600045,1,0,1,G,35,3,2,4,3,50,3,2,4,6
816599,1,0,1,G,7,1,1,1,4,10,1,1,1,7
611843,1,0,1,G,9,3,3,5,2,24,3,3,6,5
546011,1,0,1,G,15,4,4,5,4,27,4,4,7,6
971881,1,0,1,G,90,10,5,13,5,135,10,5,16,7
7213,1,0,1,G,51,5,5,7,4,71,5,5,9,6
349943,1,0,1,G,7,1,1,1,4,15,1,1,3,7
540605,1,0,1,G,79,9,5,10,3,109,9,5,12,6
871364,1,0,1,G,8,3,3,4,3,17,3,3,4,6
354143,1,0,1,G,248,2,2,2,4,256,2,2,2,8
342003,1,0,1,G,5,1,1,1,1,8,1,1,1,3
437740,1,0,1,G,10,3,3,3,2,15,3,3,3,3
591532,1,0,1,G,12,5,3,6,4,40,5,3,7,6
699934,1,0,1,G,92,16,7,20,7,151,16,7,26,9
86688,1,0,1,G,32,8,6,8,6,56,8,6,11,8
208825,1,0,1,G,56,6,4,10,5,99,6,4,12,7
467170,1,0,1,G,76,6,5,6,5,96,6,5,7,8
687290,1,0,1,G,30,5,4,7,5,51,5,4,9,8
879954,1,0,1,G,26,10,6,12,4,60,10,6,16,6
710357,1,0,1,G,107,9,6,15,3,152,9,6,17,5
62201,1,0,1,G,52,10,5,14,6,97,10,5,19,9
165399,1,0,1,G,19,5,4,6,4,37,5,4,7,6
623505,1,0,1,G,127,15,7,34,6,245,15,7,40,9
327197,1,0,1,G,170,15,7,40,7,328,15,7,49,9
731562,1,0,1,G,256,14,7,32,7,366,14,7,39,11
45347,1,0,1,G,57,7,6,11,3,103,7,6,15,5
761860,1,0,1,G,111,3,3,5,4,131,3,3,5,6
259353,1,0,1,G,113,7,5,7,6,137,8,5,8,9
386279,1,0,1,G,56,6,4,6,4,75,6,4,7,7
341613,1,0,1,G,62,12,6,14,5,104,12,6,14,7
272620,1,0,1,G,144,11,6,20,7,198,11,6,25,10
838585,1,0,1,G,36,3,2,4,5,56,3,2,4,9
252996,1,0,1,G,63,10,6,13,4,102,10,6,18,7
331989,1,0,1,G,411,21,7,51,12,584,21,7,63,16
87191,1,1,0,B,11,1,1,1,4,14,1,1,1,7
617725,1,0,1,G,129,9,6,18,7,187,9,6,20,10
657126,1,0,1,G,56,5,3,11,7,89,5,3,14,11
458895,1,0,1,G,206,9,7,12,6,242,9,7,16,9
883365,1,0,1,G,58,6,4,10,9,87,6,4,12,12
543680,1,0,1,G,276,12,7,18,5,350,12,7,20,10
840746,1,0,1,G,46,3,3,5,4,63,3,3,7,7
703381,1,0,1,G,119,4,4,17,8,172,4,4,19,11
123273,1,0,1,G,332,5,5,15,10,389,5,5,18,14
640062,1,0,1,G,102,6,6,22,6,182,6,6,25,11
560193,1,0,1,G,8,1,1,2,5,16,1,1,2,9
280942,1,0,1,G,41,1,1,4,6,53,1,1,5,9
613411,1,0,1,G,31,3,3,3,6,48,3,3,3,10
361318,1,0,1,G,11,2,2,2,4,20,2,2,2,8
593943,1,0,1,G,119,10,6,18,7,182,10,6,23,11
552022,1,0,1,G,156,8,6,14,9,209,8,6,14,13
617384,1,0,1,G,132,5,3,12,7,176,5,3,12,12
397398,1,0,1,G,149,19,7,36,8,268,19,7,44,13
138931,1,0,1,G,64,8,5,11,5,106,8,5,16,8
404313,1,0,1,G,94,12,7,21,5,153,12,7,26,9
619344,1,0,1,G,132,16,6,34,5,187,17,6,36,7
218976,1,0,1,G,11,4,3,4,4,22,4,3,4,7
520230,1,0,1,G,87,15,7,24,7,162,16,7,34,10
183030,1,1,0,B,0,0,0,1,0,0,0,0,1,0
587538,1,0,1,G,29,7,4,9,5,38,7,4,10,7
8256,1,0,1,G,87,7,4,13,4,128,7,4,15,6
372082,1,0,1,G,11,1,1,1,3,17,2,2,3,5
997250,1,0,1,G,415,24,7,59,8,594,24,7,74,11
469513,1,0,1,G,296,20,7,46,7,445,20,7,54,11
492644,1,0,1,G,386,15,7,26,6,459,15,7,30,9
185155,1,1,0,B,37,5,5,6,6,54,5,5,9,9
671811,1,0,1,G,21,6,3,7,4,46,7,3,8,6
274000,1,0,1,G,252,12,7,22,8,319,12,7,22,11
808054,1,0,1,G,59,3,2,6,5,78,3,2,7,9
635890,1,0,1,G,123,4,3,9,9,162,4,3,9,14
535030,1,0,1,G,163,7,5,15,7,228,7,5,20,11
443097,1,0,1,G,204,12,6,22,7,291,12,6,25,10
35066,1,0,1,G,135,12,7,19,10,202,12,7,21,14
300077,1,0,1,G,243,17,7,28,8,332,17,7,32,11
308698,1,0,1,G,208,12,6,20,9,271,12,6,24,13
842381,1,0,1,G,160,17,7,35,10,292,17,7,42,14
812247,1,0,1,G,137,8,5,11,6,181,8,5,12,11
431597,1,0,1,G,207,13,7,27,10,302,13,7,30,14
334829,1,0,1,G,73,7,5,13,7,127,7,5,21,11
455681,1,0,1,G,58,5,3,6,6,76,5,3,7,11
176809,1,0,1,G,34,8,4,10,5,60,8,4,11,8
892871,1,0,1,G,39,7,6,9,6,75,7,6,13,9
321584,1,0,1,G,96,13,7,20,8,162,13,7,26,11
734878,1,0,1,G,78,3,2,7,5,122,4,3,9,9
864638,1,0,1,G,35,6,5,10,6,63,6,5,10,11
69383,1,0,1,G,321,16,7,33,5,445,16,7,42,10
301701,1,0,1,G,7,1,1,1,5,13,1,1,1,9
182410,1,0,1,G,28,15,7,27,1,84,15,7,27,3
400127,1,1,0,B,0,0,0,1,0,0,0,0,1,0
865059,1,0,1,G,64,7,5,10,8,100,7,5,11,11
389067,1,0,1,G,20,5,4,5,2,30,5,4,5,3
256198,1,0,1,G,41,14,7,18,3,99,14,7,25,6
579320,1,0,1,G,70,10,6,11,3,106,10,6,15,5
181980,1,0,1,G,20,2,2,3,3,29,2,2,4,6
922428,1,0,1,G,12,3,3,4,4,24,3,3,5,7
440141,1,0,1,G,86,15,7,24,5,166,15,7,27,7
262178,1,0,1,G,40,5,4,5,2,55,5,4,7,5
239126,1,0,1,G,43,4,3,7,3,67,4,3,8,5
2293,1,0,1,G,153,16,7,28,4,245,16,7,37,6
968896,1,1,0,B,0,0,0,1,0,0,0,0,1,0
719420,1,0,1,G,37,8,5,9,5,70,9,6,11,7
378899,1,0,1,G,51,3,2,7,5,73,3,2,8,9
487513,1,0,1,G,131,6,5,11,6,159,6,5,12,12
735415,1,0,1,G,22,2,2,4,4,34,2,2,5,7
229416,1,0,1,G,47,3,3,3,6,58,3,3,3,10
801247,1,0,1,G,365,4,4,30,9,484,4,4,36,14
983317,1,0,1,G,44,2,2,5,6,81,2,2,5,10
348933,1,0,1,G,96,10,6,14,7,150,10,6,14,9
398285,1,0,1,G,68,7,6,8,5,93,7,6,11,7
409295,1,1,0,B,1,1,1,1,1,1,1,1,1,1
143759,1,0,1,G,22,12,6,15,3,75,13,6,19,5
708558,1,0,1,G,38,5,4,5,6,56,5,4,7,9
295309,1,0,1,G,57,10,4,12,3,83,10,4,14,6
957921,1,0,1,G,27,3,3,6,4,53,3,3,7,6
119160,1,0,1,G,23,6,5,6,6,47,7,5,8,9
816475,1,1,0,B,0,0,0,1,0,0,0,0,1,0
957300,1,0,1,G,46,6,4,7,5,70,6,4,9,7
28625,1,0,1,G,10,2,2,2,3,16,2,2,2,5
214047,1,0,1,G,18,4,4,4,5,24,4,4,5,8
688308,1,0,1,G,21,6,4,6,4,39,6,4,7,7
205772,1,0,1,G,21,4,3,7,3,40,4,3,8,5
683301,1,0,1,G,43,5,4,6,4,61,5,4,9,6
805198,1,0,1,G,44,5,3,10,3,84,5,3,11,5
253933,1,0,1,G,145,14,7,25,5,219,14,7,31,8
672952,1,0,1,G,30,6,4,7,3,48,6,4,7,5
160027,1,0,1,G,0,0,0,1,0,0,0,0,1,0
892505,1,0,1,G,18,4,4,5,6,30,4,4,5,8
258987,1,0,1,G,188,18,6,31,9,257,18,6,36,12
142913,1,0,1,G,0,0,0,1,0,0,0,0,1,0
457295,1,1,0,B,37,2,2,4,5,63,2,2,7,9
894099,1,0,1,G,170,7,5,10,4,200,7,5,12,7
848992,1,0,1,G,170,20,7,35,6,286,21,7,46,8
696945,1,1,0,B,6,1,1,1,3,9,1,1,1,6
501466,1,1,0,B,35,1,1,1,6,38,1,1,1,8
800744,1,0,1,G,13,2,1,3,4,22,2,1,3,6
825925,1,0,1,G,47,7,3,8,4,71,7,3,8,6
479879,1,0,1,G,26,5,4,6,7,39,5,4,6,10
442117,1,0,1,G,172,16,7,26,7,250,16,7,30,11
202846,1,0,1,G,58,3,3,5,7,77,3,3,6,10
468654,1,0,1,G,33,4,3,5,4,51,5,4,9,7
519766,1,0,1,G,24,9,5,13,2,39,9,5,13,4
988723,1,0,1,G,101,21,7,35,5,218,21,7,43,8
274544,1,0,1,G,41,5,4,5,4,56,5,4,6,7
144591,1,0,1,G,7,1,1,1,3,10,1,1,1,5
383614,1,0,1,G,33,8,6,9,5,60,8,6,11,7
931337,1,0,1,G,3,1,1,2,2,7,1,1,2,4
278067,1,0,1,G,26,6,5,8,2,51,6,5,9,4
46308,1,0,1,G,178,13,7,18,5,231,13,7,19,8
936864,1,0,1,G,22,5,4,8,5,47,5,4,9,7
397686,1,0,1,G,3,1,1,1,2,6,1,1,1,4
286240,1,0,1,G,298,13,7,33,5,421,13,7,33,9
836099,1,0,1,G,99,5,4,6,5,123,5,4,8,10
566046,1,0,1,G,68,3,2,5,7,89,3,2,6,10
697982,1,0,1,G,227,11,7,19,8,314,11,7,22,14
926250,1,0,1,G,133,5,4,12,6,204,5,4,13,11
905408,1,0,1,G,78,9,6,15,9,130,9,6,17,13
486664,1,0,1,G,130,14,7,20,7,212,14,7,21,10
788180,1,0,1,G,104,15,7,23,3,185,17,7,30,6
641910,1,0,1,G,79,15,6,26,3,160,15,6,30,6
159980,1,0,1,G,156,15,7,26,6,246,15,7,34,9
722398,1,0,1,G,90,13,7,23,5,170,14,7,29,7
878653,1,0,1,G,52,9,5,12,4,89,9,5,12,6
736267,1,0,1,G,66,6,6,10,6,89,6,6,10,11
991079,1,0,1,G,74,11,5,12,6,113,12,5,14,8
22006,1,0,1,G,122,14,7,26,7,206,14,7,34,10
329869,1,0,1,G,145,19,7,28,5,249,19,7,37,7
777180,1,0,1,G,107,12,7,27,8,163,12,7,30,13
257032,1,0,1,G,171,15,6,25,8,257,15,6,30,11
294488,1,0,1,G,54,4,4,9,7,78,4,4,10,10
522040,1,0,1,G,34,6,5,7,5,55,6,5,7,8
331859,1,0,1,G,66,7,6,10,5,105,9,7,13,8
156784,1,0,1,G,41,9,4,10,6,69,9,4,13,8
347913,1,0,1,G,99,21,7,33,4,192,21,7,33,6
144977,1,0,1,G,19,4,3,5,4,35,4,3,5,7
63734,1,0,1,G,165,14,7,23,7,231,14,7,24,9
252641,1,0,1,G,0,0,0,1,0,0,0,0,1,0
360275,1,0,1,G,95,18,7,32,4,194,18,7,42,7
720227,1,0,1,G,122,17,6,38,4,244,20,7,50,6
956428,1,0,1,G,23,4,3,5,6,38,4,3,7,9
365812,1,0,1,G,54,12,7,18,6,112,12,7,22,10
329483,1,0,1,G,66,5,4,6,5,105,5,4,6,10
311676,1,0,1,G,109,17,7,23,2,182,17,7,29,5
987052,1,0,1,G,25,2,2,2,4,31,2,2,2,6
627368,1,0,1,G,121,10,5,16,8,174,10,5,19,10
10729,1,0,1,G,21,3,3,5,5,37,3,3,6,9
41952,1,0,1,G,101,7,5,15,4,150,7,5,15,9
130804,1,0,1,G,64,9,6,13,5,121,11,6,18,9
285933,1,0,1,G,4,1,1,1,3,7,1,1,1,6
164316,1,0,1,G,19,3,2,3,4,31,3,2,3,7
492132,1,0,1,G,41,6,4,6,4,63,6,4,6,7
405899,1,0,1,G,43,11,5,14,7,77,11,5,18,10
807138,1,0,1,G,92,13,7,19,6,149,13,7,19,8
510142,1,0,1,G,26,6,4,6,4,48,6,4,6,6
130779,1,0,1,G,120,10,6,16,9,174,10,6,20,12
563152,1,0,1,G,63,11,6,12,5,99,11,6,16,7
811851,1,0,1,G,0,0,0,1,0,0,0,0,1,0
999634,1,0,1,G,72,9,5,9,4,100,9,5,10,6
599298,1,0,1,G,2,2,1,2,1,11,3,2,4,3
677167,1,0,1,G,79,6,6,7,3,100,6,6,9,5
878039,1,0,1,G,59,7,6,9,4,86,7,6,11,7
137826,1,0,1,G,51,3,3,8,5,71,3,3,8,9
852817,1,0,1,G,31,2,2,3,5,37,2,2,4,8
620167,1,1,0,B,33,3,3,4,6,48,4,4,6,8
209141,1,0,1,G,9,2,2,4,2,17,2,2,4,3
939307,1,0,1,G,66,17,7,22,4,135,17,7,30,7
694140,1,0,1,G,6,2,2,2,2,12,2,2,2,5
288906,1,0,1,G,23,2,2,4,7,35,2,2,5,11
460275,1,0,1,G,11,4,3,4,2,23,4,3,5,4
406315,1,0,1,G,284,15,7,26,4,366,15,7,29,9
290725,1,0,1,G,17,4,4,5,4,32,4,4,7,7
132967,1,0,1,G,104,12,6,16,3,156,12,6,18,6
414701,1,0,1,G,0,0,0,1,0,0,0,0,1,0
152081,1,0,1,G,2,1,1,1,2,4,1,1,1,4
604642,1,0,1,G,89,3,3,5,9,101,3,3,5,12
905307,1,0,1,G,0,0,0,1,0,0,0,0,1,0
438020,1,0,1,G,11,3,3,3,5,20,3,3,3,9
134358,1,0,1,G,38,2,2,2,4,46,2,2,3,8
969916,1,1,0,B,0,0,0,1,0,0,0,0,1,0
306463,1,0,1,G,0,0,0,1,0,2,1,1,1,1
167391,1,0,1,G,70,7,5,10,8,113,7,5,12,11
692918,1,0,1,G,180,17,6,29,5,283,17,6,29,8
604481,1,0,1,G,286,23,7,59,7,491,23,7,68,10
31100,1,0,1,G,57,15,7,16,3,114,15,7,17,6
86564,1,0,1,G,74,7,6,11,6,105,7,6,14,8
169907,1,0,1,G,66,8,6,11,7,114,8,6,12,9
109209,1,1,0,B,0,0,0,1,0,0,0,0,1,0
577889,1,0,1,G,39,5,4,7,3,65,6,5,11,5
176095,1,0,1,G,296,28,7,63,7,494,28,7,72,9
464485,1,0,1,G,249,24,7,56,6,448,27,7,80,9
253047,1,1,0,B,9,2,2,2,4,15,2,2,2,6
348157,1,0,1,G,58,5,5,10,4,91,6,5,13,7
802242,1,0,1,G,238,14,6,28,5,344,14,6,36,7
742666,1,0,1,G,22,5,3,6,5,38,5,3,7,8
726267,1,0,1,G,105,12,6,18,4,163,12,6,25,8
58917,1,0,1,G,120,7,5,10,5,153,7,5,16,8
688677,1,0,1,G,188,8,5,19,7,285,8,5,20,10
388553,1,0,1,G,68,3,3,5,6,100,3,3,5,10
808645,1,0,1,G,134,6,6,9,8,171,6,6,12,12
778839,1,0,1,G,189,5,5,9,7,231,5,5,10,11
927742,1,0,1,G,76,12,7,18,6,132,12,7,23,8
700001,1,0,1,G,49,8,5,12,5,100,8,5,13,8
526458,1,0,1,G,61,8,7,8,5,88,8,7,12,9
184792,1,0,1,G,47,5,5,8,6,80,5,5,9,10
314867,1,0,1,G,65,11,6,13,7,120,11,6,14,11
86986,1,0,1,G,120,9,7,13,7,164,9,7,14,12
855212,1,0,1,G,136,13,7,32,5,253,13,7,40,8
697340,1,0,1,G,99,14,7,24,10,171,14,7,30,13
892346,1,0,1,G,116,7,4,11,7,170,7,4,14,10
159959,1,0,1,G,95,8,5,17,7,158,8,5,17,13
464646,1,0,1,G,73,8,7,12,5,115,8,7,15,9
240932,1,0,1,G,84,11,5,22,5,147,11,5,32,8
933065,1,0,1,G,176,7,6,10,7,213,7,6,14,10
778245,1,0,1,G,44,10,6,14,5,86,10,6,19,7
766239,1,0,1,G,2,1,1,2,1,5,1,1,2,3
293334,1,1,0,B,6,1,1,1,4,9,1,1,1,6
326784,1,0,1,G,32,6,4,6,6,50,6,4,8,9
641069,1,0,1,G,62,13,5,16,6,111,13,5,21,9
997944,1,0,1,G,42,5,3,6,4,67,5,3,9,6
801333,1,1,0,B,3,1,1,1,2,6,1,1,1,5
768349,1,0,1,G,422,19,7,64,5,625,19,7,73,7
547582,1,0,1,G,95,10,6,13,5,151,10,6,13,7
425100,1,0,1,G,71,11,6,13,4,110,11,6,17,6
977101,1,1,0,B,7,1,1,1,3,13,1,1,1,5
856062,1,0,1,G,5,2,2,2,3,11,2,2,2,5
897182,1,0,1,G,9,2,2,2,2,19,3,3,3,4
635529,1,0,1,G,18,6,4,6,3,24,6,4,7,5
939102,1,0,1,G,125,15,7,25,9,211,15,7,28,11
895049,1,0,1,G,123,13,7,19,5,176,13,7,23,7
847706,1,0,1,G,41,6,4,10,6,65,7,5,12,8
888655,1,0,1,G,72,16,7,25,6,152,16,7,36,9
998370,1,0,1,G,44,5,5,7,6,64,5,5,7,8
953884,1,0,1,G,81,14,7,18,9,127,14,7,20,12
474535,1,0,1,G,97,16,7,21,6,158,16,7,28,8
678985,1,0,1,G,42,7,5,8,5,67,7,5,10,7
260274,1,0,1,G,10,1,1,1,3,13,1,1,1,6
984252,1,0,1,G,31,5,3,6,7,52,5,3,6,9
235644,1,0,1,G,13,2,1,3,3,25,2,1,3,5
123457,1,0,1,G,10,3,3,3,3,19,3,3,3,5
792611,1,0,1,G,23,4,3,5,4,36,4,3,6,6
778474,1,0,1,G,5,2,2,2,2,11,2,2,2,5
424854,1,0,1,G,176,11,5,20,8,236,11,5,24,10
473463,1,0,1,G,102,11,6,18,5,169,11,6,21,8
335388,1,0,1,G,26,8,7,10,3,54,8,7,10,6
728548,1,0,1,G,13,3,2,3,4,22,3,2,4,6
945232,1,0,1,G,108,15,6,25,4,189,15,6,35,6
531526,1,0,1,G,65,9,7,11,7,107,9,7,14,10
46727,1,0,1,G,54,13,6,18,4,108,13,6,18,6
151067,1,0,1,G,31,11,5,13,4,70,11,5,16,7
143689,1,0,1,G,0,0,0,1,0,0,0,0,1,0
814646,1,0,1,G,8,1,1,1,4,11,1,1,1,6
517583,1,0,1,G,97,7,4,12,5,142,7,4,13,7
249358,1,0,1,G,285,14,7,35,5,403,14,7,45,7
719007,1,1,0,B,49,9,6,10,7,79,9,6,12,10
858102,1,0,1,G,90,15,7,19,5,154,15,7,25,8
982762,1,0,1,G,165,17,7,36,6,270,17,7,44,9
182489,1,0,1,G,57,10,6,14,7,99,10,6,15,10
54318,1,0,1,G,414,30,7,85,6,681,30,7,103,8
616435,1,0,1,G,120,17,6,22,5,202,17,6,27,7
782443,1,0,1,G,94,9,6,15,7,142,9,6,16,11
940742,1,0,1,G,162,13,6,17,7,205,13,6,19,11
464468,1,0,1,G,138,8,6,11,7,193,8,6,11,11
90516,1,0,1,G,136,14,7,36,8,254,14,7,47,12
591561,1,0,1,G,97,9,6,17,5,156,9,6,19,9
896951,1,0,1,G,283,10,5,19,7,379,10,5,20,11
39110,1,0,1,G,40,7,4,10,6,66,7,4,13,9
94315,1,0,1,G,104,8,6,14,8,144,8,6,15,11
851192,1,0,1,G,103,9,6,14,7,149,9,6,17,12
429818,1,0,1,G,36,3,3,3,6,50,3,3,4,10
71014,1,0,1,G,53,10,6,12,5,109,10,6,17,9
199822,1,0,1,G,227,16,7,35,6,343,16,7,39,10
691448,1,0,1,G,172,6,5,10,7,210,6,5,11,10
852390,1,0,1,G,36,2,2,3,6,48,2,2,3,10
194066,1,0,1,G,56,7,5,11,6,92,7,5,16,11
516275,1,0,1,G,41,2,2,3,5,55,2,2,5,8
717810,1,0,1,G,140,6,4,10,8,167,6,4,12,12
634388,1,1,0,B,35,4,4,6,5,53,4,4,7,8
874951,1,0,1,G,439,25,7,79,6,700,25,7,97,8
83486,1,0,1,G,37,6,6,8,3,49,6,6,9,5
378616,1,0,1,G,257,23,7,39,4,385,23,7,43,6
484871,1,0,1,G,62,7,4,7,4,89,7,4,8,6
287851,1,0,1,G,61,9,5,14,4,106,9,5,14,8
496993,1,0,1,G,38,9,5,10,4,72,9,5,12,7
683949,1,0,1,G,79,6,6,7,5,100,6,6,9,7
469009,1,1,0,B,0,0,0,1,0,0,0,0,1,0
463764,1,0,1,G,74,6,5,10,4,106,6,5,13,7
813387,1,0,1,G,29,4,3,5,7,42,4,3,6,9
113323,1,0,1,G,48,4,3,6,4,72,4,3,6,6
685012,1,0,1,G,33,7,5,7,4,55,7,5,7,6
382059,1,0,1,G,16,6,5,8,4,44,8,6,15,7
638538,1,0,1,G,72,5,4,8,5,96,5,4,9,9
614556,1,0,1,G,51,5,4,5,5,66,5,4,6,8
880443,1,0,1,G,193,19,7,52,8,388,21,7,61,13
769879,1,0,1,G,55,4,4,6,4,76,4,4,7,7
267228,1,0,1,G,45,2,2,5,4,59,2,2,5,7
891409,1,1,0,B,0,0,0,1,0,0,0,0,1,0
226693,1,0,1,G,2,2,2,2,2,11,2,2,3,5
165308,1,0,1,G,16,2,2,2,3,29,3,2,4,5
480146,1,0,1,G,47,7,5,7,3,68,7,5,8,6
840974,1,0,1,G,44,11,5,12,4,80,11,5,16,7
456,1,1,0,B,4,2,2,2,2,8,2,2,2,4
136073,1,0,1,G,365,23,7,86,6,679,23,7,97,8
556535,1,1,0,B,0,0,0,1,0,0,0,0,1,0
646408,1,0,1,G,69,10,6,13,6,103,10,6,14,8
576497,1,0,1,G,79,14,6,19,6,156,16,7,31,9
526681,1,1,0,B,10,3,3,3,2,22,3,3,3,4
722611,1,0,1,G,104,9,6,10,3,134,9,6,12,5
869187,1,0,1,G,13,4,3,4,4,25,4,3,4,7
164798,1,0,1,G,42,5,4,5,4,63,5,4,6,6
28610,1,0,1,G,6,2,2,2,2,12,2,2,2,5
243764,1,0,1,G,84,13,6,19,5,141,13,6,26,8
56214,1,0,1,G,34,4,3,4,4,49,4,3,4,6
380274,1,0,1,G,14,4,3,4,3,30,4,3,4,7
477441,1,0,1,G,106,7,5,7,3,135,8,6,10,5
244223,1,0,1,G,28,2,2,2,4,34,2,2,2,6
987430,1,0,1,G,49,5,3,6,3,67,5,3,9,6
104466,1,0,1,G,36,6,4,8,6,61,6,4,8,8
487140,1,0,1,G,38,7,4,13,5,80,7,4,14,7
614112,1,0,1,G,59,7,4,10,3,90,7,4,15,5
170349,1,0,1,G,102,3,3,7,4,121,4,4,8,6
647320,1,0,1,G,112,14,7,23,4,190,14,7,30,6
461476,1,1,0,B,0,0,0,1,0,0,0,0,1,0
302403,1,0,1,G,0,0,0,1,0,8,4,4,4,1
9322,1,0,1,G,115,4,4,10,5,151,4,4,11,9
16343,1,0,1,G,11,1,1,1,5,14,1,1,2,8
406220,1,0,1,G,347,10,7,35,9,424,10,7,37,14
598463,1,0,1,G,75,4,4,8,8,109,4,4,8,12
367318,1,0,1,G,26,2,2,2,2,32,2,2,2,4
130546,1,0,1,G,328,7,5,18,5,378,7,5,21,8
637254,1,0,1,G,226,17,6,35,3,340,17,6,39,5
172423,1,0,1,G,140,16,6,36,5,255,16,6,42,7
307020,1,0,1,G,79,11,5,14,4,118,11,5,18,6
528388,1,0,1,G,14,1,1,1,3,17,1,1,1,5
886004,1,0,1,G,289,17,7,33,8,400,18,7,40,12
106965,1,0,1,G,209,15,7,25,6,288,15,7,36,9
893893,1,0,1,G,58,5,4,6,9,80,5,4,7,13
698350,1,0,1,G,52,7,4,12,9,93,7,4,12,12
756642,1,0,1,G,21,3,3,5,4,36,3,3,6,7
497437,1,0,1,G,29,5,3,6,5,45,5,3,7,7
879201,1,0,1,G,79,12,6,19,7,136,12,6,21,9
17977,1,0,1,G,69,7,6,10,6,105,7,6,12,10
599066,1,0,1,G,70,8,7,9,4,94,8,7,9,7
66346,1,0,1,G,83,18,7,29,6,179,19,7,39,8
381864,1,0,1,G,61,3,3,4,4,71,3,3,4,7
466067,1,1,0,B,36,6,4,10,4,66,6,4,14,6
902716,1,0,1,G,485,20,7,48,5,636,20,7,59,8
741657,1,0,1,G,9,2,2,2,5,15,2,2,2,8
951954,1,0,1,G,25,6,4,6,6,48,6,4,7,10
38158,1,0,1,G,140,13,7,15,7,186,13,7,18,11
541998,1,0,1,G,70,7,5,8,7,97,7,5,8,10
917389,1,0,1,G,0,0,0,1,0,0,0,0,1,0
669522,1,0,1,G,13,6,5,7,3,35,6,5,10,5
437417,1,0,1,G,41,4,3,8,5,65,4,3,8,7
550109,1,0,1,G,223,22,7,46,6,368,23,7,59,9
553092,1,1,0,B,0,0,0,1,0,0,0,0,1,0
715029,1,0,1,G,6,2,2,2,2,12,2,2,2,4
337090,1,0,1,G,107,9,5,11,4,147,10,5,20,7
277733,1,0,1,G,89,13,7,18,3,145,13,7,23,5
148619,1,0,1,G,4,1,1,1,2,7,1,1,1,4
132809,1,0,1,G,0,0,0,1,0,0,0,0,1,0
16940,1,0,1,G,110,18,7,31,9,152,18,7,35,11
26094,1,0,1,G,52,12,6,14,4,93,12,6,18,6
767448,1,0,1,G,240,18,6,31,5,331,18,6,40,7
604566,1,0,1,G,52,6,3,9,5,82,6,3,9,7
295764,1,0,1,G,9,4,3,4,3,21,4,3,5,5
